,0,1,2,3,4,5,6,7
0,0,0.25,0.2,0.0,8.612033809788414,3.656629396812834,2.3988164472565012,2.9514054226556374
1,1,0.2657764078281684,0.19980068533314935,0.0,1.3403616063572144,3.1576126623481393,2.0217547491852397,0.9610110010670575
2,2,0.28148992626692937,0.1992035358593258,0.0,8.355459180660556,3.5208780624506373,9.825620405732046,2.9296915979800477
3,3,0.29707791662242944,0.19821093199149806,0.0,9.691598280928378,0.249664114323922,6.188861062097329,2.845526249062992
4,4,0.3124782405925771,0.19682683053985073,0.0,7.437693235274953,6.631111747466447,2.2952096096583716,3.7185791926166303
5,5,0.3276295079685422,0.1950567489387783,0.0,5.067565136203759,2.8514166759685478,3.0429078703347665,2.2225591429714235
6,6,0.3424713213541367,0.19290774325277305,0.0,5.938584232915066,0.24582907387870168,9.035918213949381,2.1182553487492415
7,7,0.3569445169275524,0.19038838004888237,0.0,5.410922238075849,0.10667736637855918,5.10063685943083,2.085782294198263
8,8,0.3709914002857097,0.1875087022478594,0.0,5.102716909470345,9.664354980852263,0.783736718353707,3.7215856422954823
9,9,0.38455597643107214,0.18428018909013508,0.0,7.957001418807246,3.524799595424406,1.1367765425242082,3.6619157296606373
10,10,0.39758417298413207,0.18071571037619855,0.0,5.731742579594483,1.5605924928499626,0.917291058157832,2.58464499444198
11,11,0.4100240557317768,0.17682947516379707,0.0,9.71122570901483,1.935754923835653,3.7835443111715206,4.325049803049185
12,12,0.42182603565229604,0.17263697512646395,0.0,1.218101725827997,0.881583232750397,8.927466942541635,0.758707041587267
13,13,0.4329430665917692,0.1681549227991634,0.0,0.8195389561706623,2.2765769042845365,1.8673270969771505,0.9151816910715238
14,14,0.4433308328038348,0.1634011849572239,0.0,5.33521798528359,9.840985512843291,7.01080597686955,3.889900838378879
15,15,0.4529479256052552,0.15839471139413064,0.0,7.494911947746362,3.6040286494143334,2.105854390229199,3.7964787093790617
16,16,0.46175600844307474,0.1531554593820902,0.0,8.298222292606287,1.223880356271756,3.701248340182076,4.04687845694194
17,17,0.46971996971536506,0.14770431411648896,0.0,2.2216954811076417,1.343230346002332,8.194919773662066,1.291325562635102
