,0,1,2,3,4,5,6,7
0,0,1.0,0.0,0.0,5.609188864589024,9.108056073084548,6.504775906402557,5.541271663527286
1,1,1.0,0.0,0.0,1.266224263097957,5.5423241559031,7.684273362995776,1.0820792094636202
2,2,1.0,0.0,0.0,3.0301004462302963,5.6619619360721565,5.523697894802472,2.890383119831779
3,3,1.0,0.0,0.0,7.2445446780091505,9.054688557742349,0.24031504068659615,7.226644439422795
4,4,1.0,0.0,0.0,1.8711647707753754,2.7465680777736488,5.182007168766923,1.8390150203526323
5,5,1.0,0.0,0.0,7.0109111106043756,2.858782374793025,9.2029191891234,6.907341844878381
6,6,1.0,0.0,0.0,1.8545525864922885,3.633612519253957,8.809117233392127,1.867155459084944
7,7,1.0,0.0,0.0,1.2735353941355987,0.6685825572740223,8.528847811305472,1.2305780173783976
8,8,1.0,0.0,0.0,1.5827611686563925,1.1703168019900712,3.6033901876142305,1.628888784259824
9,9,1.0,0.0,0.0,7.405972430920844,4.123844548208037,2.1571193652922593,7.338535029667705
10,10,1.0,0.0,0.0,7.078447407050445,9.873539640471822,2.856419967929973,7.019952578659091
11,11,1.0,0.0,0.0,3.409616024278659,9.372898691135909,5.579856106863591,3.2419211370482914
12,12,1.0,0.0,0.0,5.932567844720852,8.83494413220843,5.177931900438097,6.02027140073428
13,13,1.0,0.0,0.0,5.959785143711138,2.577081069771622,8.453060424879371,5.942868726615711
14,14,1.0,0.0,0.0,2.119362368139651,1.9000212556977614,4.788509511054001,2.012977853565606
15,15,1.0,0.0,0.0,7.542946115258038,1.1556950071914562,5.0841116281903265,7.345451018081324
16,16,1.0,0.0,0.0,1.7304267409135343,3.772265520922231,7.405593462129819,1.6482653475209772
17,17,1.0,0.0,0.0,5.1270083152538035,4.336328931140105,0.9726452938820518,5.091168472014071
18,18,1.0,0.0,0.0,7.342518372973577,4.0869959135845635,0.4360939726669055,7.090769796333717
19,19,1.0,0.0,0.0,9.582090261073473,9.661750683570013,6.863368291506568,9.566125977547667
20,20,1.0,0.0,0.0,0.7901986959089169,4.241325465803179,9.151149110972753,0.7823886337539323
21,21,1.0,0.0,0.0,6.5371368661893134,9.52495749000891,2.007566625935324,6.598044695447388
22,22,1.0,0.0,0.0,3.6143386638146024,7.800982538697669,5.187515396325755,3.5689179740247883
23,23,1.0,0.0,0.0,9.092512857974736,5.039496273443983,3.4313138489617434,8.90838001030019
24,24,1.0,0.0,0.0,5.166039053836853,0.03187244563520264,4.963090863963204,5.217130218626562
25,25,1.0,0.0,0.0,9.944960971110653,1.5873687786269552,1.3919510864992568,9.782071995478763
26,26,1.0,0.0,0.0,4.47710329084337,9.553685539581453,5.161842025609859,4.358427487278579
27,27,1.0,0.0,0.0,1.2804868479420817,5.54275600331017,3.570488637905057,1.2242496338500666
28,28,1.0,0.0,0.0,6.958527427260149,9.72502896110675,2.4671935771273867,6.987837055303599
29,29,1.0,0.0,0.0,3.1036671570901495,0.3652649725213253,3.708279123390753,3.155734798617023
30,30,1.0,0.0,0.0,9.283553721311437,5.780141274597037,4.365581738011631,9.245595391715263
31,31,1.0,0.0,0.0,2.951255723626187,6.207325178855659,2.246986129278097,3.075763729210223
