5.424176,0.0944339,8.371985,5.216098,4.423534,0.8137819,0.3885192,-0.002722614
6.399891,4.365857,4.390788,6.299841,6.838326,0.8356837,0.3441141,-0.002072378
3.472177,3.576416,7.549117,3.344562,4.036005,0.8560113,0.3015156,-0.001501498
8.488031,0.8705818,6.489398,8.462021,7.656924,0.8761669,0.2601765,-0.001127582
8.559603,7.087127,7.338929,8.780632,9.22678,0.8956684,0.2218414,-0.0007489682
9.08407,4.130691,1.300067,9.105928,9.057888,0.913138,0.1867785,-3.081678e-05
9.888352,8.444478,6.938105,9.996746,10.46692,0.9304346,0.1501102,0.0004307984
0.2809138,2.725872,5.901914,0.3933728,0.5909499,0.946145,0.1179549,0.0008654799
0.269858,4.715524,0.1316252,0.259532,0.6718025,0.9610438,0.08755435,0.001415687
3.325825,4.875243,5.684843,3.103114,3.551183,0.9727447,0.06280628,0.001760462
1.406281,1.629212,5.96557,1.390131,1.467263,0.9815989,0.04511527,0.002043557
4.388082,4.687931,9.762019,4.564772,4.499248,0.9896134,0.02749012,0.002433509
1.590497,8.075045,8.473261,1.5306,1.688064,0.998522,0.009809101,0.002857649
6.116592,9.884141,7.042415,6.053967,6.158629,1.00311,-0.0005176801,0.003071146
8.265499,6.14635,3.843637,8.345366,8.29938,1.003392,-0.001274244,0.003609614
5.769998,5.641244,0.8784831,5.695303,5.770417,1.005318,-0.006084299,0.003790873
5.697637,9.483631,5.317664,5.667914,5.688372,1.005623,-0.006714079,0.004071895
8.614261,3.347027,4.321766,8.534846,8.659874,1.006696,-0.008353505,0.004172943
6.842476,5.442035,2.073114,6.708117,6.840931,1.00792,-0.01230614,0.00449437
7.309135,5.19504,0.3638122,7.30793,7.309268,1.007702,-0.01150532,0.004671897
3.050241,7.73413,8.451711,3.025084,3.039157,1.007118,-0.008915676,0.004995998
6.501009,3.9522,9.601097,6.650393,6.559856,1.004776,-0.004640553,0.00488612
4.396488,0.7967303,4.691905,4.240629,4.431311,1.003694,-0.001542561,0.004702153
9.751913,7.002974,7.065335,9.825369,9.802385,1.005033,-0.004762707,0.004650325
2.264245,5.411449,0.2151895,2.215232,2.227308,1.007888,-0.009475285,0.004874587
3.589765,1.113266,9.710668,3.826681,3.658049,1.010199,-0.01377262,0.004847531
1.988183,3.353098,1.458327,1.984827,1.967825,1.0107,-0.01409674,0.004562275
8.209193,1.553705,1.432169,8.357484,8.28379,1.011333,-0.0156047,0.003990612
2.532215,1.068719,0.6517026,2.675318,2.546741,1.009936,-0.01165743,0.003725225
1.686896,1.388601,5.129972,1.84435,1.707283,1.00798,-0.007585901,0.00346214
1.104884,0.646014,5.316466,1.077282,1.124073,1.006695,-0.005561152,0.002868211
